年份,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,卡尔玛比率,总交易次数,胜率,盈亏比,params
2017,0.06851841217467647,0.07084270532595616,0.05449965678843228,1.2998743386764362,0.041832947157563666,2017-11-22,2017-12-27,1.6934667562179477,244.0,0.46311475409836067,1.3085042846453225,cci_25
2018,-0.05541493955669441,-0.05717887598495186,0.06702652491117425,-0.8530783307164914,0.12449554352587085,2018-01-23,2018-12-14,-0.4592845202773847,244.0,0.45491803278688525,0.8303743892409499,cci_25
2019,0.09801864405158178,0.10095607429231901,0.08594543138798796,1.1746531800691966,0.03255301039620103,2019-04-19,2019-06-14,3.101282279690504,245.0,0.5183673469387755,1.291206179278769,cci_25
2020,0.07212132088551826,0.07489013827749558,0.12437813058624049,0.6021166094434001,0.0824931177860927,2020-07-06,2020-12-22,0.9078349841460486,243.0,0.49794238683127573,1.1703821642302854,cci_25
2021,-0.05244437917879741,-0.054333030799014526,0.06435167624137325,-0.8443141495680653,0.10914745338530038,2021-02-10,2021-12-29,-0.4977947639988815,243.0,0.448559670781893,0.8306450005799124,cci_25
2022,0.002127132527946829,0.002215127848609333,0.06372024035718124,0.03476333165400072,0.04808111600820662,2022-03-15,2022-05-24,0.04607064129358496,242.0,0.45041322314049587,1.0073861104177153,cci_25
2023,0.012890769372476907,0.06403834773040051,0.05259653819888516,1.2175392130989693,0.028159618189766016,2023-01-16,2023-03-07,2.2741198868127346,52.0,0.4807692307692308,1.2447664413490054,cci_25
样本内,1.7106361997552342,0.09097538458537935,0.10626905154254797,0.8560854102377554,0.1367503076546918,2015-04-22,2016-01-06,0.6652663979016508,2886.0,0.49376299376299376,1.1739321804134177,cci_25
样本外,0.15041678971645833,0.023613091447181933,0.07930624082157897,0.29774569066142004,0.14093479063670505,2020-07-06,2022-05-24,0.16754622006748232,1513.0,0.47521480502313285,1.0701906757271202,cci_25
总体,2.1179314004140886,0.06731230015578893,0.09784669159023376,0.6879363937789745,0.14093479063670467,2020-07-06,2022-05-24,0.4776130851132673,4399.0,0.4873834962491475,1.1353875578968258,cci_25
